证券代码,收盘价,RSI(14),网格状态,布林位置,操作建议,加码倍数,20日均振幅%,证券简称
159318,1.388,54.36,正常震荡,中轨下方(看弱),常规网格,1.0x,2.18,未知
516020,0.907,83.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
515000,1.042,79.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
512770,2.176,76.22,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
588190,1.524,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
159731,0.946,86.26,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
159870,0.854,83.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
159305,1.915,69.26,正常震荡,中轨上方(看强),常规网格,1.0x,2.18,未知
501220,1.318,73.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.18,未知
588660,1.618,74.11,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.17,未知
516120,0.928,83.95,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.16,未知
520690,0.9,68.39,正常震荡,中轨上方(看强),常规网格,1.0x,2.16,未知
159663,1.679,96.11,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.16,未知
501097,1.645,72.48,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.16,未知
159261,1.606,77.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.16,未知
159997,1.73,84.77,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.16,未知
159888,1.364,82.98,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.16,未知
159105,1.015,70.0,正常震荡,中轨上方(看强),常规网格,1.0x,2.15,未知
159973,1.923,72.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.15,未知
516150,2.033,93.18,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.15,未知
159872,1.114,82.35,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.15,未知
588350,1.487,76.63,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.15,未知
159538,1.646,94.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.15,未知
159713,1.468,93.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.14,未知
159320,1.76,85.14,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.14,未知
508039,4.999,53.84,正常震荡,中轨上方(看强),常规网格,1.0x,2.14,未知
588390,1.039,75.59,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.14,未知
515250,1.237,83.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.14,未知
588120,1.541,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.14,未知
588270,1.596,94.14,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
588220,1.527,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
159130,1.012,70.16,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
588820,1.829,92.1,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
159540,1.717,94.04,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
159316,1.394,66.67,正常震荡,中轨上方(看强),常规网格,1.0x,2.13,未知
508002,3.132,92.04,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
512930,2.32,89.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.13,未知
159565,1.721,89.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
516220,0.945,84.47,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
560980,0.756,85.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
516850,1.1,83.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
515320,1.274,81.22,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
159326,1.581,82.74,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
159603,1.482,75.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
159597,2.124,78.54,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
159107,0.999,88.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
589200,1.321,92.02,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
159795,1.165,84.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
159122,1.032,79.31,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.12,未知
516780,1.967,92.99,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
515980,0.941,93.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
501099,2.589,64.25,正常震荡,中轨上方(看强),常规网格,1.0x,2.11,未知
588800,1.502,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
516160,2.999,82.13,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
588140,1.151,90.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
159909,1.112,70.81,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
159793,1.122,79.79,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
159814,0.68,70.27,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
159776,1.307,69.58,正常震荡,中轨上方(看强),常规网格,1.0x,2.11,未知
512330,1.597,96.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.11,未知
588030,1.533,99.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588940,1.516,88.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
159366,1.551,72.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588280,1.067,91.1,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588060,0.939,90.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
516580,0.7,80.58,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
159819,1.624,88.94,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588150,1.039,91.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588180,0.955,89.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588870,1.503,92.08,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.1,未知
588310,1.04,76.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
508084,4.242,65.57,正常震荡,中轨上方(看强),常规网格,1.0x,2.09,未知
159810,1.338,78.21,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
560690,2.098,93.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
588090,1.518,90.14,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
515200,2.249,84.81,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
513700,0.693,69.47,正常震荡,中轨上方(看强),常规网格,1.0x,2.09,未知
588950,1.523,93.1,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
515070,2.06,90.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.09,未知
159557,1.653,69.48,正常震荡,中轨上方(看强),常规网格,1.0x,2.09,未知
513200,1.169,69.1,正常震荡,中轨上方(看强),常规网格,1.0x,2.09,未知
588370,1.553,92.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.08,未知
159718,0.973,68.45,正常震荡,中轨上方(看强),常规网格,1.0x,2.08,未知
159864,0.665,81.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.08,未知
588680,2.205,95.73,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.08,未知
516620,1.166,89.77,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.08,未知
560660,2.156,91.32,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.08,未知
516290,0.633,82.56,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.07,未知
159889,1.176,84.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.07,未知
588050,1.518,90.28,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.07,未知
159609,0.59,78.41,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.07,未知
512070,0.948,58.86,正常震荡,中轨上方(看强),常规网格,1.0x,2.07,未知
516270,0.696,82.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.06,未知
501095,0.85,66.67,正常震荡,中轨上方(看强),常规网格,1.0x,2.06,未知
159532,1.655,92.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.06,未知
588000,1.554,90.09,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.06,未知
516180,0.838,82.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.06,未知
562970,1.16,81.21,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.06,未知
159553,1.934,87.39,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.05,未知
563010,2.052,89.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.05,未知
561220,1.55,97.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.05,未知
501303,1.121,60.74,正常震荡,中轨上方(看强),常规网格,1.0x,2.05,未知
588080,1.505,90.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.05,未知
517120,0.737,73.28,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.05,未知
159949,1.567,72.92,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.05,未知
561380,1.751,86.02,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
588320,1.542,76.67,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
560800,1.068,91.67,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
517390,1.899,85.64,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
159129,1.112,84.29,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
510770,0.799,92.59,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
159748,0.822,75.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
588210,1.51,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.04,未知
508089,4.879,45.6,正常震荡,中轨上方(看强),常规网格,1.0x,2.04,未知
159939,0.95,88.81,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.03,未知
513060,0.654,69.11,正常震荡,中轨上方(看强),常规网格,1.0x,2.03,未知
159367,1.645,73.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.03,未知
515790,1.018,80.69,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.03,未知
159752,0.714,81.91,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.03,未知
561790,1.3,85.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
588900,1.546,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
159303,1.814,69.59,正常震荡,中轨上方(看强),常规网格,1.0x,2.02,未知
560360,1.666,87.32,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
589850,1.407,93.55,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
512870,1.482,78.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
508068,4.095,55.39,正常震荡,中轨上方(看强),常规网格,1.0x,2.02,未知
515370,0.966,82.54,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
159102,0.89,70.06,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
159682,1.52,72.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
562560,1.966,87.68,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
159857,0.865,81.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.02,未知
560300,2.181,89.31,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.01,未知
508098,3.752,76.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.01,未知
510550,2.044,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.01,未知
516880,0.857,82.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.01,未知
159711,1.384,53.89,正常震荡,中轨下方(看弱),常规网格,1.0x,2.0,未知
159373,1.668,72.25,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.0,未知
561010,1.254,82.02,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.0,未知
561360,1.285,81.76,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.0,未知
588850,1.466,99.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.0,未知
589950,1.123,99.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.99,未知
588450,1.916,96.68,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.99,未知
159991,0.775,68.09,正常震荡,中轨上方(看强),常规网格,1.0x,1.99,未知
560170,1.14,94.09,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.99,未知
588880,1.489,100.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.99,未知
159807,0.757,84.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.99,未知
516800,0.85,90.16,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.99,未知
159766,0.811,64.66,正常震荡,中轨上方(看强),常规网格,1.0x,1.99,未知
159855,1.043,88.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
159703,0.879,82.86,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
159681,1.536,72.73,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
588040,1.51,89.95,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
560630,1.172,87.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
159618,0.804,79.46,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
562380,1.178,91.92,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
159786,1.194,87.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
159777,1.184,80.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.98,未知
159863,0.673,82.02,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.97,未知
562030,0.571,93.24,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.97,未知
508096,10.197,38.52,正常震荡,中轨下方(看弱),常规网格,1.0x,1.97,未知
159707,0.639,68.04,正常震荡,中轨上方(看强),常规网格,1.0x,1.97,未知
159123,1.068,81.08,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.97,未知
562510,0.821,64.75,正常震荡,中轨上方(看强),常规网格,1.0x,1.97,未知
520510,1.012,72.36,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.97,未知
159258,1.192,86.47,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.96,未知
159551,1.372,87.28,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.96,未知
588550,1.184,93.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.96,未知
562920,1.099,90.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.96,未知
508036,8.73,38.84,正常震荡,中轨下方(看弱),常规网格,1.0x,1.96,未知
589980,1.564,99.58,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.96,未知
562360,1.147,87.17,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.96,未知
513290,1.548,59.01,正常震荡,中轨下方(看弱),常规网格,1.0x,1.96,未知
588840,1.362,92.86,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
560590,1.567,95.09,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
516570,1.024,86.43,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
159385,1.554,98.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
159761,0.77,87.85,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
588250,1.231,81.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
501058,2.515,78.55,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
515230,0.973,85.63,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.95,未知
159298,1.15,68.84,正常震荡,中轨上方(看强),常规网格,1.0x,1.95,未知
589780,1.16,91.75,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.94,未知
159768,0.573,68.24,正常震荡,中轨上方(看强),常规网格,1.0x,1.94,未知
159526,1.553,88.49,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.94,未知
159770,1.098,86.89,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.94,未知
501021,1.526,74.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.94,未知
510170,1.339,86.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.94,未知
501080,1.577,87.97,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.94,未知
517110,0.781,74.38,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.93,未知
562500,1.064,88.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.93,未知
159658,1.646,91.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.93,未知
516380,1.053,76.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.92,未知
501046,4.37,69.74,正常震荡,中轨上方(看强),常规网格,1.0x,1.92,未知
159369,1.328,73.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.92,未知
560770,1.046,88.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.92,未知
159213,1.277,87.56,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.92,未知
159389,1.547,97.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
515860,1.751,80.39,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
516630,1.792,93.7,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
159375,1.738,73.43,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
159899,0.975,86.06,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
560850,1.523,93.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
159309,1.205,79.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.91,未知
508090,4.233,65.65,正常震荡,中轨上方(看强),常规网格,1.0x,1.91,未知
517160,0.945,79.55,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.9,未知
588980,1.379,99.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.9,未知
589300,1.568,93.97,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.9,未知
588860,0.786,80.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.9,未知
516360,1.003,86.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.9,未知
159773,1.254,81.29,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.9,未知
508058,4.311,58.65,正常震荡,中轨上方(看强),常规网格,1.0x,1.89,未知
159739,1.754,94.17,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.89,未知
510410,1.953,85.63,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.89,未知
516510,1.843,93.73,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.89,未知
159273,1.415,81.29,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.89,未知
159289,1.107,90.18,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
159852,0.946,86.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
501007,1.082,78.47,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
588670,1.582,97.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
589820,1.206,91.08,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
159971,1.155,75.35,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
159720,0.876,75.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
589660,1.446,96.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
159918,2.588,96.99,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.88,未知
562570,1.507,91.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.87,未知
159586,1.451,85.43,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.87,未知
159383,1.629,71.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.87,未知
501216,0.907,70.97,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.87,未知
589800,1.436,95.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.87,未知
515630,1.487,59.07,正常震荡,中轨上方(看强),常规网格,1.0x,1.86,未知
562660,1.803,87.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.86,未知
159590,1.238,85.45,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.86,未知
563050,1.206,94.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.86,未知
159371,1.627,73.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.86,未知
501015,2.294,88.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.85,未知
588520,1.392,97.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.85,未知
159622,1.162,74.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.85,未知
159763,0.707,85.58,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.85,未知
589680,1.418,96.89,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.85,未知
159260,0.973,58.46,正常震荡,中轨上方(看强),常规网格,1.0x,1.85,未知
589060,1.502,96.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.84,未知
589900,1.439,97.01,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.84,未知
159808,1.277,75.93,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.84,未知
159890,1.865,95.26,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
563150,1.156,83.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
516590,1.334,76.92,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
159980,2.086,78.08,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
589000,1.44,97.03,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
159952,2.017,77.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
562930,0.97,86.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.83,未知
159956,2.102,83.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.82,未知
159993,1.334,59.22,正常震荡,中轨上方(看强),常规网格,1.0x,1.82,未知
159977,1.728,78.46,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.82,未知
159675,1.368,75.16,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.82,未知
159709,1.483,83.24,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
516730,1.116,58.86,正常震荡,中轨上方(看强),常规网格,1.0x,1.81,未知
589500,1.448,94.63,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
159957,2.181,78.21,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
562600,0.927,72.03,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
515400,1.036,94.87,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
516710,0.726,90.53,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
501082,2.811,71.17,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
516700,1.087,96.77,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.81,未知
159948,3.669,77.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
589630,1.462,95.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
159676,1.481,78.29,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
159915,3.314,77.89,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
516000,1.125,94.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
508088,3.887,77.72,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
159998,1.082,89.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,1.8,未知
